지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 강북구 수유동 696-6,(철근)콘크리트,철근콘크리트구조,강북구,구립수유2동어린이집,101.43,4,484.92,0,19971121,어린이집,37.64906756,127.0148896,수유동,1.480782,101.43,4,1,484.92,미진행,19971121,27,1.503916542,0.00310137,0.005426837,1997
서울특별시 은평구 대조동 172-23,(철근)콘크리트,철근콘크리트구조,은평구,구립 대조어린이집,124.63,3,275.71,0,20150213,어린이집,37.61007469,126.9214343,대조동,31.636673,124.63,3,0,275.71,미진행,20150213,9,1.732752973,0.006284694,0.005342677,2015
서울특별시 마포구 공덕동 4-86,(철근)콘크리트,철근콘크리트구조,마포구,연봉 경로당,47.62,2,134.97,0,20060222,경로당,37.55035891,126.9622253,공덕동,40.244007,47.62,2,1,134.97,미진행,20060222,18,0.516329837,0.003825516,0.005864626,2006
서울특별시 마포구 공덕동 370-4,(철근)콘크리트,철근콘크리트구조,마포구,공덕 크로시티,32.21,1,158.31,0,20230710,경로당,37.5474534,126.9505938,공덕동,704.88477,10069.23,75,38,70256.24,미진행,19841228,40,168.1144187,0.002392875,0.005864626,1984
서울특별시 마포구 신공덕동 175,(철근)콘크리트,철근콘크리트구조,마포구,신덕어린이집,172.7,4,578.73,0,20130325,어린이집,37.5443829,126.955371,신공덕동,3.0247197,172.7,4,0,578.73,미진행,20130325,11,1.147001307,0.001981928,0.003652014,2013
서울특별시 마포구 도화동 188,기타지붕,경량철골구조,마포구,마포구 도화2동 경로당,67.73,1,67.73,0,20070510,경로당,37.53784768,126.9481109,도화동,43.91106,67.73,1,0,67.73,미진행,20070510,17,0.343811853,0.005076212,0.007094744,2007
서울특별시 마포구 도화동 196-7,(철근)콘크리트,철근콘크리트구조,마포구,도화1동 어린이집,148.685,3,490.04,0,20070904,어린이집,37.5408587,126.9520917,도화동,26.682705,148.685,3,1,490.04,미진행,20070904,17,2.42465441,0.00494787,0.007094744,2007
서울특별시 마포구 도화동 347-134,(철근)콘크리트,철근콘크리트구조,마포구,구립연화어린이집,156.91,3,587.07,0,20050314,어린이집,37.53829921,126.950498,도화동,24.502705,156.91,3,1,587.07,미진행,20050314,19,1.416920877,0.002413547,0.007094744,2005
서울특별시 마포구 도화동 357-8,(철근)콘크리트,철근콘크리트구조,마포구,복사골 작은도서관 청사,195.4,4,933.04,0,19960925,도서관,37.53953417,126.9519229,도화동,3.1356826,195.4,4,1,933.04,미진행,19960925,28,4.237568395,0.004541679,0.007094744,1996
서울특별시 마포구 신수동 458,(철근)콘크리트,철근콘크리트구조,마포구,신수동 복합청사,532.06,4,2322.68,0,20100122,어린이집,37.54715758,126.9351023,신수동,6.9866734,532.06,4,1,2322.68,미진행,20100122,14,7.980100278,0.00343573,0.004402776,2010
서울특별시 마포구 성산동 65-4,(철근)콘크리트,철근콘크리트구조,마포구,성미어린이집,201.29,3,590.21,0,20220120,어린이집,37.56281941,126.9112407,성산동,6.1232653,201.29,3,1,590.21,미진행,20220120,2,0.97399709,0.001650255,0.014190373,2022
