지번주소,구 이름,건물명,사용승인일,통합용도명,위도,경도,사용승인일.1,연식,대상 여부,진행 현황,연도별 사업 구분
서울특별시 강서구 마곡동 734,강서구,마곡엠밸리1단지,20140619,경로당,37.56834441,126.81845,20140619,10,대상,대상선정,
서울특별시 강서구 마곡동 790-7,강서구,마곡 어린이집,20200306,어린이집,37.56185601,126.836077,20200306,4,미대상,,
서울특별시 강서구 방화동 904,강서구,신마곡벽산블루밍,20201126,경로당,37.57100487,126.8086407,20201126,4,미대상,,
서울특별시 구로구 구로동 50-11,구로구,온새미어린이집,20140228,어린이집,37.50161664,126.8922459,20140228,10,대상,예비대상,
서울특별시 구로구 구로동 435,구로구,구로구청,20170220,어린이집,37.49551316,126.8882968,20170220,7,미대상,,
서울특별시 구로구 구로동 777-22,구로구,구로3동주민센터,20150106,어린이집,37.48734294,126.8903329,20150106,9,미대상,,
서울특별시 구로구 궁동 40-1,구로구,궁동어린이도서관,20170131,도서관,37.50220913,126.8292523,20170131,7,미대상,,
서울특별시 영등포구 도림동 81-2,영등포구,구립 도림1동 복지관,19920907,어린이집,37.5093864,126.9064519,19920907,32,대상,대상선정,
서울특별시 영등포구 신길동 1-10,영등포구,밤동산마을도서관,19901222,도서관,37.51489545,126.9245203,19901222,34,대상,예비대상,
서울특별시 영등포구 신길동 341-6,영등포구,구립 6.25 참전자 경로당,20171201,경로당,37.50175392,126.90524,20171201,7,미대상,,
서울특별시 영등포구 신길동 456-62,영등포구,창의나라어린이집,20130123,어린이집,37.50889283,126.9215517,20130123,11,대상,사업완료,2021.0
서울특별시 영등포구 대림동 608-2,영등포구,대림도서관,20070724,도서관,37.50431408,126.896076,20070724,17,대상,사업완료,2020.0
서울특별시 영등포구 대림동 712,영등포구,다온어린이집,20170907,어린이집,37.49453884,126.8968472,20170907,7,미대상,,
서울특별시 영등포구 대림동 740-7,영등포구,대림3동 어린이집,20200612,어린이집,37.49808076,126.8979506,20200612,4,미대상,,
서울특별시 영등포구 대림동 808-4,영등포구,구립두암경로당,19841205,어린이집,37.49370884,126.8956271,19841205,40,대상,사업완료,2022.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,사업완료,2020.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,사업완료,2021.0
서울특별시 영등포구 대림동 899-2,영등포구,보건소(보건분소),19870430,보건소,37.49545637,126.9058473,19951229,29,대상,예비대상,
서울특별시 영등포구 대림동 1127,영등포구,e편한세상 영등포 아델포레,20200728,어린이집,37.49451054,126.9061199,20200728,4,미대상,,
서울특별시 동작구 본동 12-12,동작구,구립 선재어린이집,19920530,어린이집,37.51149689,126.9568836,19920530,32,대상,대상선정,
서울특별시 서초구 방배동 873-4,서초구,방배4동 국공립어린이집,20180306,어린이집,37.48783501,126.9912596,20180306,6,미대상,,
서울특별시 서초구 양재동 102-6,서초구,양재도서관,20191115,도서관,37.47367571,127.0335758,20191115,5,미대상,,
서울특별시 서초구 원지동 254-14,서초구,새원마을구립노인정,20030129,경로당,37.45386569,127.0499323,20030129,21,대상,대상선정,
서울특별시 서초구 서초동 1491-12,서초구,서초구립 서초3동 하나어린이집,20210308,어린이집,37.48342035,127.0031206,20210308,3,미대상,,
서울특별시 서초구 서초동 1668-15,서초구,하은어린이집,20111206,어린이집,37.4931859,127.0182962,20111206,13,대상,대상선정,
서울특별시 강남구 일원동 743,강남구,디에이치 자이 개포,20210730,어린이집,37.49109172,127.0741667,20210730,3,미대상,,
